step,train_loss,val_loss,lr,grad_norm,tokens_seen
4000,3.6675,3.641,0.0004,0.27,4194304000
4010,3.6277,,0.0004,0.23,4204789760
4020,3.6397,,0.0004,0.31,4215275520
4030,3.6038,,0.0004,0.26,4225761280
4040,3.6246,,0.0004,0.25,4236247040
4050,3.6295,,0.0004,0.27,4246732800
4060,3.605,,0.0004,0.25,4257218560
4070,3.6471,,0.0004,0.28,4267704320
4080,3.6992,,0.0004,0.35,4278190080
4090,3.6487,,0.0004,0.26,4288675840
4100,3.6804,,0.0004,0.28,4299161600
4110,3.66,,0.0004,0.29,4309647360
4120,3.6105,,0.0004,0.27,4320133120
4130,3.6609,,0.0004,0.29,4330618880
4140,3.7077,,0.0004,0.24,4341104640
4150,3.6486,,0.0004,0.29,4351590400
4160,3.6528,,0.0004,0.29,4362076160
4170,3.6258,,0.0004,0.28,4372561920
4180,3.6524,,0.0004,0.26,4383047680
4190,3.6262,,0.0004,0.26,4393533440
4200,3.6725,,0.0004,0.25,4404019200
4210,3.6005,,0.0004,0.32,4414504960
4220,3.631,,0.0004,0.25,4424990720
4230,3.6271,,0.0004,0.27,4435476480
4240,3.6198,,0.0004,0.27,4445962240
4250,3.6094,,0.0004,0.31,4456448000
4260,3.647,,0.0004,0.28,4466933760
4270,3.615,,0.0004,0.27,4477419520
4280,3.6497,,0.0004,0.24,4487905280
4290,3.6165,,0.0004,0.31,4498391040
4300,3.6105,,0.0004,0.24,4508876800
4310,3.6511,,0.0004,0.32,4519362560
4320,3.6006,,0.0004,0.33,4529848320
4330,3.6134,,0.0004,0.28,4540334080
4340,3.6563,,0.0004,0.26,4550819840
4350,3.615,,0.0004,0.26,4561305600
4360,3.6603,,0.0004,0.27,4571791360
4370,3.5942,,0.0004,0.24,4582277120
4380,3.6354,,0.0004,0.27,4592762880
4390,3.6417,,0.0004,0.26,4603248640
4400,3.6106,,0.0004,0.31,4613734400
4410,3.6665,,0.0004,0.32,4624220160
4420,3.6153,,0.0004,0.28,4634705920
4430,3.6516,,0.0004,0.24,4645191680
4440,3.5749,,0.0004,0.38,4655677440
4450,3.5938,,0.0004,0.28,4666163200
4460,3.5677,,0.0004,0.25,4676648960
4470,3.6586,,0.0004,0.27,4687134720
4480,3.6059,,0.0004,0.28,4697620480
4490,3.5947,,0.0004,0.25,4708106240
4500,3.583,,0.0004,0.28,4718592000
4510,3.6432,,0.0004,0.29,4729077760
4520,3.5841,,0.0004,0.3,4739563520
4530,3.5963,,0.0004,0.24,4750049280
4540,3.6384,,0.0004,0.3,4760535040
4550,3.6274,,0.0004,0.27,4771020800
4560,3.6135,,0.0004,0.39,4781506560
4570,3.6023,,0.0004,0.29,4791992320
4580,3.6263,,0.0004,0.27,4802478080
4590,3.5924,,0.0004,0.26,4812963840
4600,3.5873,,0.0004,0.28,4823449600
4610,3.5949,,0.0004,0.3,4833935360
4620,3.6075,,0.0004,0.28,4844421120
4630,3.6498,,0.0004,0.27,4854906880
4640,3.6227,,0.0004,0.28,4865392640
4650,3.6249,,0.0004,0.27,4875878400
4660,3.5835,,0.0004,0.27,4886364160
4670,3.558,,0.0004,0.28,4896849920
4680,3.5904,,0.0004,0.26,4907335680
4690,3.64,,0.0004,0.37,4917821440
4700,3.6132,,0.0004,0.31,4928307200
4710,3.5954,,0.0004,0.27,4938792960
4720,3.6108,,0.0004,0.26,4949278720
4730,3.5636,,0.0004,0.27,4959764480
4740,3.6326,,0.0004,0.24,4970250240
4750,3.6074,,0.0004,0.29,4980736000
4760,3.6031,,0.0004,0.29,4991221760
4770,3.5703,,0.0004,0.27,5001707520
4780,3.527,,0.0004,0.27,5012193280
4790,3.6076,,0.0004,0.24,5022679040
4800,3.6011,,0.0004,0.29,5033164800
4810,3.5917,,0.0004,0.28,5043650560
4820,3.559,,0.0004,0.3,5054136320
4830,3.572,,0.0004,0.26,5064622080
4840,3.6009,,0.0004,0.28,5075107840
4850,3.5849,,0.0004,0.26,5085593600
4860,3.6334,,0.0004,0.29,5096079360
4870,3.5709,,0.0004,0.31,5106565120
4880,3.5653,,0.0004,0.25,5117050880
4890,3.5706,,0.0004,0.28,5127536640
4900,3.5882,,0.0004,0.28,5138022400
4910,3.614,,0.0004,0.29,5148508160
4920,3.6012,,0.0004,0.29,5158993920
4930,3.5901,,0.0004,0.3,5169479680
4940,3.545,,0.0004,0.31,5179965440
4950,3.6313,,0.0004,0.26,5190451200
4960,3.5557,,0.0004,0.31,5200936960
4970,3.5876,,0.0004,0.26,5211422720
4980,3.646,,0.0004,0.26,5221908480
4990,3.5828,,0.0004,0.26,5232394240
5000,3.5644,3.5848,0.0004,0.33,5242880000
5010,3.6067,,0.0004,0.29,5253365760
5020,3.5963,,0.0004,0.34,5263851520
5030,3.5823,,0.0004,0.28,5274337280
5040,3.5664,,0.0004,0.29,5284823040
5050,3.5374,,0.0004,0.3,5295308800
5060,3.5884,,0.0004,0.24,5305794560
5070,3.5549,,0.0004,0.26,5316280320
5080,3.5653,,0.0004,0.3,5326766080
5090,3.5897,,0.0004,0.27,5337251840
5100,3.5899,,0.0004,0.26,5347737600
5110,3.6531,,0.0004,0.27,5358223360
5120,3.6007,,0.0004,0.26,5368709120
5130,3.5287,,0.0004,0.24,5379194880
5140,3.621,,0.0004,0.25,5389680640
5150,3.5429,,0.0004,0.28,5400166400
5160,3.5562,,0.0004,0.32,5410652160
5170,3.6436,,0.0004,0.26,5421137920
5180,3.5865,,0.0004,0.28,5431623680
5190,3.5786,,0.0004,0.27,5442109440
5200,3.6004,,0.0004,0.27,5452595200
5210,3.576,,0.0004,0.28,5463080960
5220,3.6386,,0.0004,0.34,5473566720
5230,3.5786,,0.0004,0.25,5484052480
5240,3.551,,0.0004,0.3,5494538240
5250,3.5696,,0.0004,0.24,5505024000
5260,3.5604,,0.0004,0.29,5515509760
5270,3.5912,,0.0004,0.26,5525995520
5280,3.6025,,0.0004,0.29,5536481280
5290,3.628,,0.0004,0.3,5546967040
5300,3.5837,,0.0004,0.26,5557452800
5310,3.5534,,0.0004,0.33,5567938560
5320,3.5606,,0.0004,0.32,5578424320
5330,3.5963,,0.0004,0.28,5588910080
5340,3.5906,,0.0004,0.26,5599395840
5350,3.5741,,0.0004,0.28,5609881600
5360,3.5932,,0.0004,0.29,5620367360
5370,3.5372,,0.0004,0.28,5630853120
5380,3.5747,,0.0004,0.38,5641338880
5390,3.5153,,0.0004,0.25,5651824640
5400,3.5514,,0.0004,0.31,5662310400
5410,3.5698,,0.0004,0.31,5672796160
5420,3.5939,,0.0004,0.27,5683281920
5430,3.5936,,0.0004,0.25,5693767680
5440,3.5934,,0.0004,0.31,5704253440
5450,3.5585,,0.0004,0.27,5714739200
5460,3.517,,0.0004,0.27,5725224960
5470,3.5193,,0.0004,0.24,5735710720
5480,3.6062,,0.0004,0.28,5746196480
5490,3.5354,,0.0004,0.3,5756682240
5500,3.5894,,0.0004,0.26,5767168000
5510,3.5977,,0.0004,0.31,5777653760
5520,3.5503,,0.0004,0.26,5788139520
5530,3.5947,,0.0004,0.28,5798625280
5540,3.5512,,0.0004,0.32,5809111040
5550,3.5902,,0.0004,0.28,5819596800
5560,3.554,,0.0004,0.29,5830082560
5570,3.5542,,0.0004,0.27,5840568320
5580,3.5757,,0.0004,0.34,5851054080
5590,3.572,,0.0004,0.29,5861539840
5600,3.5761,,0.0004,0.33,5872025600
5610,3.5628,,0.0004,0.24,5882511360
5620,3.5799,,0.0004,0.28,5892997120
5630,3.5727,,0.0004,0.26,5903482880
5640,3.533,,0.0004,0.29,5913968640
5650,3.5434,,0.0004,0.26,5924454400
5660,3.5335,,0.0004,0.3,5934940160
5670,3.5729,,0.0004,0.36,5945425920
5680,3.5602,,0.0004,0.26,5955911680
5690,3.5512,,0.0004,0.31,5966397440
5700,3.533,,0.0004,0.27,5976883200
5710,3.5677,,0.0004,0.3,5987368960
5720,3.5174,,0.0004,0.27,5997854720
5730,3.586,,0.0004,0.25,6008340480
5740,3.5679,,0.0004,0.36,6018826240
5750,3.5259,,0.0004,0.28,6029312000
5760,3.5834,,0.0004,0.26,6039797760
5770,3.5233,,0.0004,0.32,6050283520
5780,3.5662,,0.0004,0.28,6060769280
5790,3.5397,,0.0004,0.26,6071255040
5800,3.5695,,0.0004,0.33,6081740800
5810,3.5815,,0.0004,0.29,6092226560
5820,3.5435,,0.0004,0.32,6102712320
5830,3.6316,,0.0004,0.3,6113198080
5840,3.5675,,0.0004,0.29,6123683840
5850,3.5558,,0.0004,0.26,6134169600
5860,3.5379,,0.0004,0.29,6144655360
5870,3.545,,0.0004,0.29,6155141120
5880,3.5086,,0.0004,0.3,6165626880
5890,3.5119,,0.0004,0.28,6176112640
5900,3.5339,,0.0004,0.3,6186598400
5910,3.5613,,0.0004,0.3,6197084160
5920,3.5277,,0.0004,0.28,6207569920
5930,3.5467,,0.0004,0.29,6218055680
5940,3.4889,,0.0004,0.27,6228541440
5950,3.5279,,0.0004,0.31,6239027200
5960,3.5711,,0.0004,0.26,6249512960
5970,3.5319,,0.0004,0.27,6259998720
5980,3.5617,,0.0004,0.35,6270484480
5990,3.5704,,0.0004,0.28,6280970240
6000,3.5787,3.5451,0.0004,0.27,6291456000
6010,3.5229,,0.0004,0.32,6301941760
6020,3.5438,,0.0004,0.32,6312427520
6030,3.5469,,0.0004,0.28,6322913280
6040,3.5319,,0.0004,0.31,6333399040
6050,3.5532,,0.0004,0.27,6343884800
6060,3.588,,0.0004,0.32,6354370560
6070,3.5499,,0.0004,0.27,6364856320
6080,3.5711,,0.0004,0.34,6375342080
6090,3.5421,,0.0004,0.29,6385827840
6100,3.5205,,0.0004,0.36,6396313600
