params: 109.5M | device: cuda
step  1840 | loss 3.8808 | lr 4.00e-04 | gnorm 0.29 | 39,558 tok/s | mfu 21.7%
step  1850 | loss 3.8512 | lr 4.00e-04 | gnorm 0.27 | 39,649 tok/s | mfu 21.7%
step  1860 | loss 3.9173 | lr 4.00e-04 | gnorm 0.29 | 39,585 tok/s | mfu 21.7%
step  1870 | loss 3.8576 | lr 4.00e-04 | gnorm 0.29 | 39,570 tok/s | mfu 21.7%
step  1880 | loss 3.8566 | lr 4.00e-04 | gnorm 0.35 | 39,585 tok/s | mfu 21.7%
step  1890 | loss 3.8329 | lr 4.00e-04 | gnorm 0.27 | 39,808 tok/s | mfu 21.8%
step  1900 | loss 3.8633 | lr 4.00e-04 | gnorm 0.35 | 39,585 tok/s | mfu 21.7%
step  1910 | loss 3.8311 | lr 4.00e-04 | gnorm 0.35 | 39,505 tok/s | mfu 21.6%
step  1920 | loss 3.8384 | lr 4.00e-04 | gnorm 0.31 | 39,488 tok/s | mfu 21.6%
step  1930 | loss 3.8567 | lr 4.00e-04 | gnorm 0.26 | 39,618 tok/s | mfu 21.7%
step  1940 | loss 3.8629 | lr 4.00e-04 | gnorm 0.29 | 39,508 tok/s | mfu 21.6%
step  1950 | loss 3.9010 | lr 4.00e-04 | gnorm 0.30 | 39,438 tok/s | mfu 21.6%
step  1960 | loss 3.8637 | lr 4.00e-04 | gnorm 0.29 | 39,745 tok/s | mfu 21.8%
step  1970 | loss 3.8359 | lr 4.00e-04 | gnorm 0.28 | 39,761 tok/s | mfu 21.8%
step  1980 | loss 3.8686 | lr 4.00e-04 | gnorm 0.28 | 39,803 tok/s | mfu 21.8%
step  1990 | loss 3.8507 | lr 4.00e-04 | gnorm 0.31 | 39,631 tok/s | mfu 21.7%
resumed at step 2000
step  2000 | loss 3.8433 | lr 4.00e-04 | gnorm 0.28 | 35,220 tok/s | mfu 19.3%
step  2010 | loss 3.9003 | lr 4.00e-04 | gnorm 0.32 | 40,362 tok/s | mfu 22.1%
step  2020 | loss 3.8388 | lr 4.00e-04 | gnorm 0.28 | 39,469 tok/s | mfu 21.6%
step  2030 | loss 3.8803 | lr 4.00e-04 | gnorm 0.27 | 39,423 tok/s | mfu 21.6%
step  2040 | loss 3.8372 | lr 4.00e-04 | gnorm 0.27 | 39,562 tok/s | mfu 21.7%
step  2050 | loss 3.7894 | lr 4.00e-04 | gnorm 0.31 | 39,477 tok/s | mfu 21.6%
step  2060 | loss 3.7977 | lr 4.00e-04 | gnorm 0.25 | 39,707 tok/s | mfu 21.7%
step  2070 | loss 3.8420 | lr 4.00e-04 | gnorm 0.34 | 39,434 tok/s | mfu 21.6%
step  2080 | loss 3.8029 | lr 4.00e-04 | gnorm 0.31 | 39,501 tok/s | mfu 21.6%
step  2090 | loss 3.8183 | lr 4.00e-04 | gnorm 0.26 | 39,739 tok/s | mfu 21.8%
step  2100 | loss 3.8194 | lr 4.00e-04 | gnorm 0.35 | 39,555 tok/s | mfu 21.7%
step  2110 | loss 3.8477 | lr 4.00e-04 | gnorm 0.30 | 39,650 tok/s | mfu 21.7%
step  2120 | loss 3.8338 | lr 4.00e-04 | gnorm 0.32 | 39,555 tok/s | mfu 21.7%
step  2130 | loss 3.8217 | lr 4.00e-04 | gnorm 0.28 | 39,673 tok/s | mfu 21.7%
step  2140 | loss 3.8224 | lr 4.00e-04 | gnorm 0.36 | 39,564 tok/s | mfu 21.7%
step  2150 | loss 3.8075 | lr 4.00e-04 | gnorm 0.26 | 39,535 tok/s | mfu 21.7%
step  2160 | loss 3.8284 | lr 4.00e-04 | gnorm 0.27 | 39,713 tok/s | mfu 21.7%
step  2170 | loss 3.7853 | lr 4.00e-04 | gnorm 0.27 | 39,455 tok/s | mfu 21.6%
step  2180 | loss 3.8037 | lr 4.00e-04 | gnorm 0.29 | 39,489 tok/s | mfu 21.6%
step  2190 | loss 3.8122 | lr 4.00e-04 | gnorm 0.30 | 39,445 tok/s | mfu 21.6%
step  2200 | loss 3.7979 | lr 4.00e-04 | gnorm 0.30 | 39,468 tok/s | mfu 21.6%
step  2210 | loss 3.8190 | lr 4.00e-04 | gnorm 0.29 | 39,470 tok/s | mfu 21.6%
step  2220 | loss 3.7772 | lr 4.00e-04 | gnorm 0.27 | 39,445 tok/s | mfu 21.6%
step  2230 | loss 3.7947 | lr 4.00e-04 | gnorm 0.30 | 39,609 tok/s | mfu 21.7%
step  2240 | loss 3.7962 | lr 4.00e-04 | gnorm 0.39 | 39,552 tok/s | mfu 21.7%
step  2250 | loss 3.7607 | lr 4.00e-04 | gnorm 0.26 | 39,576 tok/s | mfu 21.7%
step  2260 | loss 3.7691 | lr 4.00e-04 | gnorm 0.27 | 39,453 tok/s | mfu 21.6%
step  2270 | loss 3.7760 | lr 4.00e-04 | gnorm 0.27 | 39,418 tok/s | mfu 21.6%
step  2280 | loss 3.8228 | lr 4.00e-04 | gnorm 0.32 | 39,491 tok/s | mfu 21.6%
step  2290 | loss 3.7957 | lr 4.00e-04 | gnorm 0.26 | 39,425 tok/s | mfu 21.6%
step  2300 | loss 3.7791 | lr 4.00e-04 | gnorm 0.26 | 39,465 tok/s | mfu 21.6%
step  2310 | loss 3.8142 | lr 4.00e-04 | gnorm 0.26 | 39,448 tok/s | mfu 21.6%
